Pclass,Sex,Age
2,0,55
2,1,31
2,1,20
2,0,35
3,1,63
1,1,36
2,0,55
1,1,60
3,1,18
1,1,74
3,0,51
2,0,10
1,1,51
2,0,70
3,1,35
2,0,55
2,1,29
3,1,14
2,1,21
1,0,73
3,0,35
3,1,3
3,1,65
2,1,33
2,0,68
3,0,45
2,0,37
2,0,7
1,1,78
3,0,10
2,0,70
2,0,38
3,0,76
1,1,70
1,0,58
1,1,28
1,0,52
2,1,17
3,0,4
2,1,14
2,1,44
3,1,4
2,1,68
2,0,57
2,0,16
3,0,22
1,1,12
3,0,25
2,0,60
1,1,27
3,0,16
2,0,65
2,0,75
1,1,53
1,0,3
1,1,75
3,1,47
2,1,43
3,0,51
3,1,62
1,1,57
2,0,8
3,0,1
1,1,70
2,1,21
1,0,22
3,0,22
2,1,73
1,1,61
1,0,2
3,1,63
1,1,69
3,0,75
2,0,41
1,0,2
1,1,45
2,1,79
2,1,71
1,0,45
2,1,38
2,1,25
3,0,56
3,1,73
1,1,15
1,0,49
2,1,48
1,1,64
3,1,16
1,1,24
2,1,32
2,1,17
3,1,31
2,1,8
1,1,46
1,1,38
3,0,26
3,0,42
3,0,20
2,1,11
2,0,28
3,1,56
2,1,51
1,1,5
1,1,47
3,1,46
1,0,34
3,1,53
2,1,15
3,0,17
3,1,74
3,1,37
1,1,45
2,1,16
3,1,18
1,1,42
1,1,66
1,1,57
2,1,64
2,0,47
1,0,32
2,1,68
3,1,24
2,1,45
2,1,54
2,1,26
1,0,75
1,1,35
3,1,35
2,1,21
2,0,46
3,0,6
3,1,15
2,0,26
1,0,31
1,1,62
3,0,44
2,0,73
2,1,13
3,0,53
3,1,60
1,0,8
1,1,28
2,0,65
2,0,33
2,1,59
1,1,36
3,1,66
1,1,2
3,0,66
3,0,52
3,1,31
3,1,19
3,1,26
1,1,33
1,0,28
1,0,25
2,1,71
3,0,40
2,1,53
2,1,20
3,1,22
2,1,66
3,0,77
2,0,46
3,1,25
3,0,63
3,1,28
2,0,22
1,0,72
1,1,61
1,0,21
1,0,31
1,1,65
3,1,9
3,1,71
2,0,7
3,1,4
2,1,55
2,0,43
2,1,61
2,1,14
3,0,16
3,0,6
1,0,28
1,1,71
2,1,7
1,1,79
2,1,59
3,1,11
2,0,41
3,0,19
3,0,43
1,0,72
1,0,18
2,1,57
2,1,8
3,0,3
2,0,22
2,0,61
2,0,60
1,0,37
1,1,52
3,1,24
1,1,54
1,0,49
3,1,65
3,0,44
1,0,57
1,0,64
3,1,47
2,1,62
2,0,78
3,0,3
3,1,41
1,1,5
3,0,11
3,1,76
2,0,6
3,1,44
2,0,30
1,0,7
3,1,33
